Natural Language Prompt,T2C Generated Query
How many collections are hosted on IDC,SELECT COUNT(DISTINCT collection_id) FROM `bigquery-public-data.idc_current.dicom_all`
List all the collections,SELECT DISTINCT collection_id FROM `bigquery-public-data.idc_current.dicom_all`
How many body parts are present across all the collections on IDC,SELECT COUNT(DISTINCT BodyPartExamined) as num_body_parts FROM `bigquery-public-data.idc_current.dicom_all`
List all the body parts,SELECT DISTINCT BodyPartExamined FROM `bigquery-public-data.idc_current.dicom_all`
How many modalities are present across all datasets on IDC,SELECT COUNT(DISTINCT Modality) FROM bigquery-public-data.idc_current.dicom_all
List all the modalities,SELECT DISTINCT Modality FROM `bigquery-public-data.idc_current.dicom_all`
How many different MRI sequences are present on IDC,SELECT COUNT(DISTINCT SequenceName) FROM bigquery-public-data.idc_current.dicom_all WHERE modality = 'MR';
List all the MRI sequences,SELECT DISTINCT SeriesDescription FROM `bigquery-public-data.idc_current.dicom_all` WHERE Modality = 'MR'
How many different body parts and modalities are hosted on IDC,"SELECT COUNT(DISTINCT BodyPartExamined) as num_body_parts, COUNT(DISTINCT Modality) as num_modalities FROM `bigquery-public-data.idc_current.dicom_all"
How many images are hosted on IDC,SELECT COUNT(*) FROM `bigquery-public-data.idc_current.dicom_all`
How many patients are on IDC,SELECT COUNT(DISTINCT PatientID) AS num_patients FROM `bigquery-public-data.idc_current.dicom_all`
How many collections have atleast 500 patients,SELECT COUNT(DISTINCT collection_id) FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id HAVING COUNT(DISTINCT PatientID) >= 500
List all collection with atleast 500 patients,"SELECT collection_id, COUNT(DISTINCT PatientID) AS NumPatients FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id HAVING NumPatients >= 500"
List all the collections with atleast 100000 images,"SELECT collection_id, COUNT(*) AS num_images FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id HAVING COUNT(*) >= 100000"
What are different MRI scanners used for datasets on IDC,"SELECT DISTINCT Manufacturer, ManufacturerModelName FROM `bigquery-public-data.idc_current.dicom_all` WHERE Modality = 'MR'"
How many collections on IDC have brain data,SELECT COUNT(DISTINCT StudyInstanceUID) FROM `bigquery-public-data.idc_current.dicom_all` WHERE Modality='MR' AND BodyPartExamined='BRAIN'
Which IDC collections have brain images,SELECT DISTINCT collection_id FROM `bigquery-public-data.idc_current.dicom_all` WHERE BodyPartExamined = 'BRAIN'
How many collections have lung CT images hosted on IDC,SELECT COUNT(DISTINCT collection_id) FROM bigquery-public-data.idc_current.dicom_all WHERE modality = 'CT' AND LOWER(BodyPartExamined) LIKE '%lung%'
List the collections with lung CT,SELECT DISTINCT collection_id FROM `bigquery-public-data.idc_current.dicom_all` WHERE modality = 'CT' AND BodyPartExamined LIKE '%Lung%'
List the collections with both PET and CT,"SELECT DISTINCT collection_id FROM `bigquery-public-data.idc_current.dicom_all` WHERE modality IN (""CT"", ""PT"") GROUP BY collection_id HAVING COUNT(DISTINCT modality) = 2"
What is the download size of each collection in GB,"SELECT collection_id, ROUND(SUM(file_size)/POWER(10,9),2) AS download_size_GB FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id"
"For each collection on IDC, list the number of images","SELECT collection_id as collection, COUNT(*) as num_images FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id"
"For each collection on IDC, list the number of patients","SELECT collection_id AS Collection, COUNT(DISTINCT PatientID) AS num_patients FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY Collection"
"For each collection on IDC, list all the body parts and modalities available","SELECT collection_id, BodyPartExamined, modality FROM bigquery-public-data.idc_current.dicom_all GROUP BY collection_id, BodyPartExamined, modality ORDER BY collection_id, BodyPartExamined, modality"
Count the number of modalities for each collection on IDC,"SELECT COUNT(DISTINCT Modality), collection_id FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id"
"For each collection on IDC, count the body parts and modalities","SELECT collection_id, COUNT(DISTINCT BodyPartExamined) AS num_body_parts, COUNT(DISTINCT Modality) AS num_modalities FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id"
"For each collection on IDC, count the body parts, modalities and series descriptions","SELECT DISTINCT collection_id, COUNT(DISTINCT SeriesDescription) AS NumSeries, COUNT(DISTINCT BodyPartExamined) AS NumBodyParts, COUNT(DISTINCT Modality) AS NumModalities FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id"
"For each collection on IDC, list the body parts, modalities and series descriptions","SELECT collection_id, BodyPartExamined, Modality, SeriesDescription FROM `bigquery-public-data.idc_current.dicom_all` WHERE IFNULL(collection_id, '') != '' GROUP BY collection_id, BodyPartExamined, Modality, SeriesDescription ORDER BY collection_id"
"For each collection hosted on IDC, what is the proportion of male and female patients?","WITH gender_counts AS ( SELECT collection_id, PatientSex, COUNT(DISTINCT PatientID) AS patient_count FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id, PatientSex ), total_patients AS ( SELECT collection_id, COUNT(DISTINCT PatientID) AS total_count FROM `bigquery-public-data.idc_current.dicom_all` GROUP BY collection_id ) SELECT gender_counts.collection_id, total_patients.total_count, ROUND(gender_counts.patient_count / CAST(total_patients.total_count AS numeric), 2) AS male_proportion, ROUND((total_patients.total_count - gender_counts.patient_count) / CAST(total_patients.total_count AS numeric), 2) AS female_proportion FROM gender_counts JOIN total_patients ON gender_counts.collection_id = total_patients.collection_id ORDER BY gender_counts.collection_id;"
How many male brain MRI images are hosted on IDC,SELECT count(*) FROM bigquery-public-data.idc_current.dicom_all WHERE Modality = 'MR' AND BodyPartExamined = 'BRAIN' AND PatientSex = 'M'
Give me patient id of all male brain MRI images hosted on IDC,SELECT DISTINCT PatientID FROM `bigquery-public-data.idc_current.dicom_all` WHERE modality = 'MR' AND BodyPartExamined = 'BRAIN' AND PatientSex = 'M'
I only want brain MRI DWI sequences,SELECT * FROM bigquery-public-data.idc_current.dicom_all WHERE Modality = 'MR' AND BodyPartExamined = 'BRAIN' AND lower(SeriesDescription) LIKE '%dwi%'
How many male brain MRIs are hosted on IDC where the patient is older than 25 and acquired after 2005?,"SELECT COUNT(*) as num_of_scans FROM `bigquery-public-data.idc_current.dicom_all` WHERE Modality = 'MR' AND BodyPartExamined = 'BRAIN' AND PatientSex = 'M' AND CAST(REGEXP_EXTRACT(PatientAge, r'\d+') AS INT64) > 25 AND CAST(EXTRACT(YEAR FROM StudyDate) AS INT64) > 2005"
Can you give me the patient id and study date for all pediatric studies hosted on IDC?,"SELECT PatientID, StudyDate 
 FROM bigquery-public-data.idc_current.dicom_all 
 WHERE PatientAge LIKE '%Y' 
 AND CAST(REGEXP_REPLACE(PatientAge, 'Y', '') AS NUMERIC) < 18"
How many images hosted on IDC have a transfer syntax uid of explicit VR little endian and explicit VR big endian?,"SELECT TransferSyntaxUID, COUNT(*) AS image_count FROM `bigquery-public-data.idc_current.dicom_all` WHERE TransferSyntaxUID IN ('1.2.840.10008.1.2.1', '1.2.840.10008.1.2.2') GROUP BY 1"
How many images hosted on IDC where sourced from institutions in Maryland?,SELECT COUNT(*) FROM `bigquery-public-data.idc_current.dicom_all` WHERE InstitutionAddress LIKE '%MD%' OR InstitutionAddress LIKE '%Md%' OR InstitutionAddress LIKE '%maryland%' OR InstitutionAddress LIKE '%Maryland%'
What collections are hosted on IDC that focus on glioblastoma?,SELECT DISTINCT collection_id FROM `bigquery-public-data.idc_current.dicom_all` WHERE StudyDescription LIKE '%glioblastoma%'
I want images in the nsclc_radiomics collection,SELECT * FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = 'nsclc_radiomics'
I want all seg images in the nsclc_radiomics collection,"SELECT * FROM `bigquery-public-data.idc_current.dicom_all` WHERE Modality = ""SEG"" AND StudyInstanceUID IN ( SELECT StudyInstanceUID FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = ""nsclc_radiomics"" );"
Download all brain MRI data on IDC,SELECT * FROM `bigquery-public-data.idc_current.dicom_all` WHERE Modality = 'MR' AND BodyPartExamined = 'BRAIN'
I want to download images in the IDC upenn_gbm collection,SELECT * FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = 'upenn_gbm'
"How many patients, images, modalities, body parts, sequences, and different scanners in the IDC upenn_gbm collection","SELECT COUNT(DISTINCT PatientID) AS num_patients, COUNT(*) AS num_images, COUNT(DISTINCT Modality) AS num_modalities, COUNT(DISTINCT BodyPartExamined) AS num_body_parts, COUNT(DISTINCT SequenceName) AS num_sequences, COUNT(DISTINCT StationName) AS num_scanners FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = 'upenn_gbm'"
"For the IDC upenn_gbm collection, list all modalities, body parts, sequences, and different scanners","SELECT DISTINCT Modality, BodyPartExamined, SeriesDescription, ManufacturerModelName FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id='upenn_gbm'"
"For the upenn_gbm collection, how many male and female patients","SELECT PatientSex, COUNT(DISTINCT PatientID) FROM bigquery-public-data.idc_current.dicom_all WHERE collection_id = 'upenn_gbm' GROUP BY PatientSex"
"For the upenn_gbm collection, how many teenagers","SELECT COUNT(DISTINCT PatientID) AS num_teenagers FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = ""upenn_gbm"" AND CAST(SUBSTR(PatientAge, 1, LENGTH(PatientAge)-1) AS NUMERIC) >= 13 AND CAST(SUBSTR(PatientAge, 1, LENGTH(PatientAge)-1) AS NUMERIC) <= 19"
"For the upenn_gbm collection, how many patients under the age of 25 years, between 25 and 50, and greater than 50 years","SELECT CASE WHEN CAST(REGEXP_REPLACE(PatientAge, r'[^0-9]', '') AS INT64) < 25 THEN 'under_25' WHEN CAST(REGEXP_REPLACE(PatientAge, r'[^0-9]', '') AS INT64) >= 25 AND CAST(REGEXP_REPLACE(PatientAge, r'[^0-9]', '') AS INT64) <=50 THEN '25_to_50' WHEN CAST(REGEXP_REPLACE(PatientAge, r'[^0-9]', '') AS INT64) > 50 THEN 'over_50' ELSE 'unknown_age' END AS age_group, COUNT(DISTINCT PatientID) AS num_patients FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id='upenn_gbm' GROUP BY age_group"
"For the upenn_gbm collection, download only male patient data for patients between 25 and 50 years of age","SELECT * FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = 'upenn_gbm' AND PatientSex = 'M' AND PatientAge LIKE '%Y' AND CAST(REGEXP_REPLACE(PatientAge, ""[^\\d]"", """") AS INT64) BETWEEN 25 AND 50"
"For the upenn_gbm collection, how many patients corresponding to each scanner","SELECT COUNT(DISTINCT PatientID), ManufacturerModelName FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = 'upenn_gbm' GROUP BY ManufacturerModelName"
"For the upenn_gbm collection, download only T2 and FLAIR scans","SELECT * FROM `bigquery-public-data.idc_current.dicom_all` WHERE collection_id = 'upenn_gbm' AND (REGEXP_CONTAINS(SeriesDescription, 'T2') OR REGEXP_CONTAINS(SeriesDescription, 'FLAIR'))"
List all collections that contain segmentation images,"SELECT DISTINCT collection_id FROM `bigquery-public-data.idc_current.dicom_all` WHERE regexp_contains(Modality, r""SEG"")"